"id","sample_name","project","type_project","ammo_type","sample_type","sample_source"
453,"294f4db719713c5c9e82e386a099be1560ae9b1cca685cc7e72986220895e3a9","2d1bef99a08754eb43d056cb78c984d01908188c4d057df26086205fb35bf4d1",zaak,,,
456,de608b67854475a9cbbdd7c92c7607e3d7337fffd9d5e147c39f9cc42232570f,"6e661d2068dc689e64fde98646021a2e58212f5bcb4587aa6f708359969298c8",zaak,,,
472,"2c16ae563db11cd61b08f263573ecaf472e29700aaf0df1cfee303b2a7580385","77e2e03742b7a549f23b8fce97859808af67b16b79bd6c80a35aca6ecfb8e507",zaak,,,
473,"189df9536125f2bcf87e0f1f8508cfe5d435bdf8f3564092fb56205da3d68036","32d5f8e12980dea758125b8de5e22a0c8d9f743abff93d6b2ad2883321fd8162",zaak,,,
504,ab81c4e0082c690ca2c5e3d47931bf99096144f2d08dc278dfd749831d2673fc,fef2d6f4bfdfaa89d761ff5b7c69248dc2540853840d6a631ad317af9bd0e01d,zaak,"136c24bbdf3a23254aa4acc68426c65d36c04c516fb9e5388e034837dbd8286e",cartridge,
519,f9607063b4d14f4c72740cff724986a0ffb394b8c1070ab89ece186d963fdb5d,"25045363eb3c2e0522a6346baa7f982adb6b2cfab6c269346ce0d6557a54f46d",zaak,,,
523,"07ee08e47aceab1a7a92b8e48587006270d051a9f90f635bd8e6b0ed437ea6e6",f2f1c7b5687399f32c199eef8f50273cf2d8c87a4bfccd1ffb91dce8f1ca9101,zaak,,,
537,"602d05bbe751f7893af7fb4567f9a3ea06180626bf9429e4b7e8bf4dda900d56",b0e0f661b20e0c8dda93c9ab3b6ef9d2c6ca60ad752c0bbcd02d254d04086672,zaak,,,
543,"83420d9f2ee20fd9d9034ebae2e5a3f985ab42fe1ca97a681a65ad4eacc31076","30949a8eeb1f76e28ce5fa59d4b28e810c016a7a46ca55497354c76aa127af39",zaak,,,
544,"0a8df01f86f8ea61eb7acb6ad325afd62bc4d27fdf1788f3f12745461ad13bb1","92bc0560147f8322f6fe144cc84848b1fae1ad450a452e5ca8545f8a8448e758",zaak,fdbd6ccfd13da13e72d0cb8ab493baa9244912ce8578c99a9ddeb8abf762a800,cartridge,
